OBJECTID,NUMERO,NOM_LIEU,ADRESSE,ARRONDISSEMENT,HORAIRES,ANNEE,geo_shape,geo_point_2d
155,32,Square d'Estienne-d'Orves,1 place d'Estienne-d'Orves,75009,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.33170010110766, 48.8765985165044]}",48.8765985165, 2.33170010111
156,33,Square Montholon,79 bis rue Lafayette,75009,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.346572941394867, 48.87684021596983]}",48.876840216, 2.34657294139
158,159,Terre-plein central a l'angle du boulevard de Menilmontant et de la rue Spinoza,81 boulevard de Menilmontant,75011,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.386169062017646, 48.86377803396736]}",48.863778034, 2.38616906202
1,37,Jardin Villemin,14 rue des Recollets,75010,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.361435941135883, 48.874795803435866]}",48.8747958034, 2.36143594114
11,44,Jardin de Reuilly - Paul-Pernin,15 rue Albinoni,75012,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.388635351161315, 48.842233123271434]}",48.8422331233, 2.38863535116
18,48,Square Emile-Cohl,60 boulevard Soult,75012,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.410164216103982, 48.84223728796766]}",48.842237288, 2.4101642161
19,43,Square Saint-Eloi,11 rue du Colonel-Rozanoff,75012,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.387768916490256, 48.845282069401115]}",48.8452820694, 2.38776891649
20,50,Square Trousseau,6 rue Antoine-Vollon,75012,de 9h30 a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.377049604719049, 48.85046421982014]}",48.8504642198, 2.37704960472
21,52,Esplanade Pierre-Vidal-Naquet (Grands-Moulins),8 rue Marguerite-Duras,75013,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.380780942574572, 48.82899862917927]}",48.8289986292, 2.38078094257
25,55,Parc de Choisy,128 avenue de Choisy,75013,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.359396330563067, 48.82723238641173]}",48.8272323864, 2.35939633056
29,61,Square Henri-Cadiou,69 boulevard Arago,75013,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.342446375006231, 48.834610542875154]}",48.8346105429, 2.34244637501
43,71,Square Julia-Bartet,3 rue Julia-Bartet,75014,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.303906893691275, 48.82648204344058]}",48.8264820434, 2.30390689369
